Source,URL,Calculated Political Bias,Bias Standard Deviation,Articles Analyzed
AARP,https://www.aarp.org,0,711/1012,
ABC News,http://abcnews.go.com/,-0.5,5910/5204,
ACLU,https://www.aclu.org/,-0.5,552/674,
Al Jazeera,https://www.aljazeera.com,0,1042/1318,
AP,http://hosted.ap.org/#,0,293/211,
AP,http://www.apnews.com/#,0,293/211,
Associated Press,http://hosted.ap.org/#,0,3492/2170,
Associated Press,http://www.apnews.com/#,0,3492/2170,
BBC News,http://www.bbc.com/#,0,5406/4926,
Bloomberg,https://www.bloomberg.com/#,0,2927/3042,
Breitbart News,http://www.breitbart.com/,1,9390/5343,
Brookings Institution,https://www.brookings.edu,0,1435/937,
Business Insider,https://www.businessinsider.com/#,0,1043/1051,
Bustle,https://www.bustle.com/,-0.5,391/400,
Buzzfeed,https://www.buzzfeed.com,-0.5,2337/2929,
C-SPAN,https://www.c-span.org/,0,1473/450,
Cato Institute,https://www.cato.org/,0.5,531/902,
CBS News,https://www.cbsnews.com/,-0.5,2978/2816,
CNBC,https://www.cnbc.com,0,829/1682,
CNN (Web news),https://www.cnn.com/,-0.5,19999/20609,
CNN (Editorial),https://www.cnn.com/opinions,-1,1335/547,
CNS News,https://www.cnsnews.com/,1,447/429,
Daily Kos,https://www.dailykos.com/,-1,2707/983,
Daily Mail,http://www.dailymail.co.uk,1,618/515,
Daily Press,http://www.dailypress.com/,0.5,207/282,
Democracy Now,https://www.democracynow.org/,-1,2661/1156,
Drudge Report,http://drudgereport.com/,1,1123/569,
Financial Times,http://www.ft.com/#,0,17/16,
FiveThirtyEight,https://fivethirtyeight.com/#,0,2072/1106,
Forbes,https://www.forbes.com,0,1479/1088,
Foreign Affairs,https://www.foreignaffairs.com/,0,505/289,
Fox News,http://www.foxnews.com/#,0.5,14759/23286,
Fox News Editorial,http://www.foxnews.com/opinion.html,1,424/144,
Harvard Business School,http://hbswk.hbs.edu/#,-0.5,357/416,
Heritage.org,https://www.heritage.org/,0.5,1550/891,
Los Angeles Times,http://www.latimes.com/,-0.5,2273/1851,
Mother Jones,https://www.motherjones.com/,-1,2300/536,
MSNBC,http://www.msnbc.com/,-1,1709/881,
National Review,http://www.nationalreview.com/#,1,5432/2465,
NBC News,https://www.nbcnews.com/,-0.5,2126/2867,
New York Magazine,http://nymag.com/,-1,831/400,
New York Post,https://nypost.com/,1,1533/1100,
New York Times,https://www.nytimes.com/,-0.5,10653/19303,
NPR Editorial,https://www.npr.org/sections/opinion/,-0.5,337/363,
NPR News,https://www.npr.org,0,13592/8581,
Pew Research,http://www.pewresearch.org/#,0,358/407,
Politico,https://www.politico.com/,-0.5,9673/16555,
PolitiFact,http://www.politifact.com/,-0.5,650/1075,
Reason,https://reason.org/,0.5,3139/1978,
Reuters,https://www.reuters.com/,0,3113/2227,
Salon,https://www.salon.com,-1,7368/3436,
Scientific American,https://www.scientificamerican.com/,0,540/240,
Slate,https://slate.com/,-0.5,1303/1432,
The Atlantic,https://www.theatlantic.com/,-0.5,1847/1251,
The Boston Globe,http://www.bostonglobe.com/,-0.5,809/677,
The Economist,https://www.economist.com/,0.5,525/1102,
The Federalist,http://thefederalist.com/,0.5,999/697,
The Guardian,https://www.theguardian.com/,-0.5,3207/1722,
The Hill,http://thehill.com/,0,4025/5208,
The New Yorker,https://www.newyorker.com/,-1,310/139,
The Telegraph - UK,https://www.telegraph.co.uk/,0.5,274/158,
The Verge,https://www.theverge.com/,-0.5,189/131,
The Week,http://theweek.com/,0,1846/1378,
The Blaze,https://www.theblaze.com/,1,8494/4286,
Think Progress,https://thinkprogress.org/,-1,1505/505,
Time Magazine,http://time.com/,-1,2091/1960,
Townhall,https://townhall.com/,1,6778/11599,
USA TODAY,https://www.usatoday.com/,0,9358/6140,
Vice,https://www.vice.com/,-1,80/49,
Vanity Fair,https://www.vanityfair.com/,-0.5,1742/1083,
Vox,https://www.vox.com/,-0.5,5845/9317,
Wall Street Journal- Editorial,https://www.wsj.com/news/opinion,1,2592/2224,
Wall Street Journal- News,https://www.wsj.com/,0,8446/14280,
Washington Examiner,https://www.washingtonexaminer.com/,1,1917/957,
Washington Post,https://www.washingtonpost.com/,-0.5,19614/11150,
Washington Times,https://www.washingtontimes.com/,0.5,17397/8407,
